time,price_stock,volume_stock,topic_1_impact_normalised,topic_2_impact_normalised,sentiment_impact,sentiment_impact_std
2022-03-03 21:55:00,81.94,353825,0.8650183523,0.8299384194,-0.4654881922,0.6357983622
2022-03-03 22:00:00,81.93,74713,1.389014342,0.355687894,-0.5850048387,0.5873940092
2022-03-04 15:20:00,82.5,203,0.7679763371,0.2526680385,-0.1406426094,0.2244608328
2022-03-04 15:25:00,82.35,771,0.6429356804,0.5552107039,-0.2170738637,0.2258881616
2022-03-04 15:30:00,81.52,266674,0.7000392011,1.05425011,-0.3349606425,0.1946638486
2022-03-04 15:35:00,81.38,69766,1.770364517,0,-0.2387434735,0.6810619378
2022-03-04 15:40:00,81.32,45576,0.469881102,0.8678021347,-0.852636233,0.734520549
2022-03-04 15:45:00,81.865,34116,0.7553272881,1.015467366,0.5652145166,0.1257491873
2022-03-04 15:50:00,81.49,54279,0.7710056387,1.106188206,-0.9689343863,0.2734593259
2022-03-04 15:55:00,81.59,33804,1.033381472,0.4768263872,-0.01883486798,0.3277211351
2022-03-04 16:00:00,81.78,32010,0.1675184479,0.7739366816,-0.2141523764,0.2964428583
2022-03-04 16:05:00,81.74,49881,0.9665597018,0,0.5012046743,0
2022-03-04 16:10:00,81.8362,29735,2.406108637,0,-1.286119165,0
2022-03-04 16:15:00,81.56,49301,1.816135317,0.4788033631,-0.3895103095,0.5213013717
2022-03-04 16:20:00,81.55,45524,2.197829093,0.324216912,-0.7253565241,1.0165157
2022-03-04 16:25:00,81.54,30894,0.6035825835,1.353581508,-0.4087271912,0.4458953711
2022-03-04 16:30:00,81.905,38140,0.09036020036,1.17999652,-0.2533364703,0.2380968774
2022-03-04 16:35:00,81.83,34612,0.4417717708,0.5636360956,-0.03909637742,0.1876214592
2022-03-04 16:40:00,81.96,44536,0.6848661008,0,0.2588550549,0
2022-03-04 16:45:00,81.89,41297,1.823906858,0,0.08942439094,0
2022-03-04 16:50:00,81.6,34996,0.6295511326,0.5201459537,0.02583975233,0.2662636021
2022-03-04 16:55:00,81.511,25447,0.2178694422,1.098312641,-0.4510889356,0.2135645598
2022-03-04 17:00:00,81.635,32903,0.2164776953,0.5007071404,-0.03031621207,0.0939391548
2022-03-04 17:05:00,81.66,27158,0.6015271592,0.8409866841,0.04676233237,0.6386579052
2022-03-04 17:10:00,81.65,25338,0.6701130978,0.6917196506,-0.3416985971,0.6853425048
2022-03-04 17:15:00,81.7,49711,0.3097041015,1.428066842,-0.8050825139,0.8810328855
2022-03-04 17:20:00,81.75,39357,1.768043649,0.4776737905,-0.8632236074,1.294430365
2022-03-04 17:25:00,81.67,51151,1.076189753,0,-0.08813561602,0.3311265683
2022-03-04 17:30:00,81.55,26431,0.6778500449,0.9535067149,-0.7596192694,0.5942476894
2022-03-04 17:35:00,81.52,35969,1.5737398,0,-0.1635372133,0.14572041
2022-03-04 17:40:00,81.79,66869,1.987154607,0,-0.8279810861,0
2022-03-04 17:45:00,81.84,30548,0.8041213906,0.5792076056,-0.3666274159,0.3315129114
2022-03-04 17:50:00,81.9,23110,0.8213730525,1.084633037,-0.4049763543,0.4912914582
2022-03-04 17:55:00,81.95,36210,0.5282008524,0.4955842328,-0.1701543262,0.3395845424
2022-03-04 18:00:00,82.05,198872,0.1123582715,0.479652818,-0.1336993257,0.1509389447
2022-03-04 18:05:00,82.02,52022,0.3595360792,0.5209062368,-0.5378323491,0.6575433319
2022-03-04 18:10:00,82.15,63066,1.829411757,0,-0.137950386,0.4759953522
2022-03-04 18:15:00,82.21,53834,0.2596649001,0.9193836084,-0.3785339625,0.6743312763
2022-03-04 18:20:00,82.34,48506,1.92162767,0,-0.5741273575,0.08623138623
2022-03-04 18:25:00,82.22,21025,1.21703333,0.1033346815,-0.515980229,0.4120897097
2022-03-04 18:30:00,82.34,78346,0.9320595787,0,-0.03016466736,0.04265928169
2022-03-04 18:35:00,82.35,30653,1.008344358,0.4095240582,-0.5075577716,0.2109797665
2022-03-04 18:40:00,82.41,23822,1.418718178,0,-0.5130557204,0.2899699963
2022-03-04 18:45:00,82.36,26658,1.21001323,0.1066308413,-0.6264611439,0.005697662972
2022-03-04 18:50:00,82.47,64573,1.21001323,0.2894683591,-0.5415773414,0.2480507944
2022-03-04 18:55:00,82.6,64817,1.548101278,0,-0.6635546568,0.1373224794
2022-03-04 19:00:00,82.685,38142,1.202691565,0.4442391605,-0.7412432439,0.456482801
2022-03-04 19:05:00,82.8,40663,1.314290848,0.1449433086,-0.5755207513,0.1558924943
2022-03-04 19:10:00,82.94,36328,0.8311147944,0.3782566748,-0.3090805492,0.3001642584
2022-03-04 19:15:00,82.87,87778,1.375015034,0.1477470079,-0.5992055531,0.08194556813
2022-03-04 19:20:00,82.76,40196,0.9723320595,0.5680661637,-0.5299454603,0.1782843959
2022-03-04 19:25:00,82.79,43301,1.26152798,0.1321632748,-0.5114668702,0.2781382683
2022-03-04 19:30:00,82.82,26102,1.21001323,0.08759754812,-0.4774511701,0.3274987677
2022-03-04 19:35:00,82.86,138636,0.3833658625,0,-0.1690570803,0
2022-03-04 19:40:00,82.85,91288,0,0,0,0
2022-03-04 19:45:00,82.5807,30462,1.903826729,0,-0.6634448649,0.5742974599
2022-03-04 19:50:00,82.41,34090,0.6283116934,0,0.06692583177,0.09464741896
2022-03-04 19:55:00,82.26,50010,1.070663956,0.6211828022,-0.3980534329,0.3622704628
